"DATEOPENED","ADDRFULLLINE","LANDUSE","PARCELNBR","VALUEIMPROVED","AldermanicDistrict","ZipCode","CensusTract","Neighborhood","lat","long","CrimeCount_2023_Property","CrimeCount_2023_Violent","NA."
"2023-05-18T00:00:00Z","2608 N 37TH ST",8810,3271560000,44600,15,53210,6200,2380,43.0663271,-87.959604419792,4,34,0
"2022-07-13T00:00:00Z","2422 N 53RD ST",8810,3291690000,122200,10,53210,9300,1880,43.06303005,-87.9796539459682,7,34,0
"2022-12-19T00:00:00Z","5231 N HOPKINS ST",3612,1929987000,233000,1,53209,2000,6232,43.1125972,-87.9641649725782,7,33,0
"2024-09-05T00:00:00Z","4975 N HOPKINS ST",8810,2080218000,106400,1,53209,2500,1440,43.1079698,-87.9618625103081,7,33,0
"2024-08-14T00:00:00Z","4985 N HOPKINS ST",8810,2080219000,48800,1,53209,2500,1440,43.10811175,-87.9619102,7,33,0
"2021-08-17T00:00:00Z","2838 N 36TH ST",8810,3081140000,108400,15,53210,6200,1780,43.0706267,-87.9583132506165,9,33,0
"2020-04-20T00:00:00Z","3048 N 28TH ST",8880,3090130000,0,7,53210,6300,NA,43.0744984,-87.9483188829094,2,33,0
"2024-06-11T00:00:00Z","2541 N 34TH ST",8820,3261485000,0,15,53210,8900,NA,43.0652048,-87.9565201705642,8,33,0
"2024-08-23T00:00:00Z","2469 N 37TH ST",8810,3270903000,54400,15,53210,9000,2380,43.0639579,-87.9601032779891,6,33,0
"2024-02-09T00:00:00Z","2616 N 37TH ST",8820,3271558100,63700,15,53210,6200,2380,43.0664933,-87.9595799433044,4,33,0
"2023-08-02T00:00:00Z","4801 W CENTER ST",5085,3280421000,62100,15,53210,6000,6250,43.0677727,-87.9738842143639,10,33,0
"2022-04-14T00:00:00Z","2137 N 41ST ST",8810,3480536000,93200,15,53208,9100,2380,43.0583094,-87.9649206543507,3,33,0
"2020-06-24T00:00:00Z","2148 N 38TH ST",8810,3481054000,35700,15,53208,9000,2380,43.05856215,-87.9608728,13,33,0
"2023-02-10T00:00:00Z","3019 W KILBOURN AV",8810,3880031100,240800,4,53208,13500,2300,43.0413813,-87.9524687468792,12,33,0
"2023-01-30T00:00:00Z","5804 W SILVER SPRING DR",8810,1730146000,72300,1,53218,1200,960,43.1196039,-87.9852199,4,32,0
"2023-01-26T00:00:00Z","1344 W ATKINSON AV",8810,2710652000,38100,6,53206,4600,2860,43.08627095,-87.9282638051535,3,32,0
"2021-05-10T00:00:00Z","3046 N 28TH ST",8810,3090129000,65700,7,53210,6300,2960,43.0744341,-87.9483227343143,3,32,0
"2024-01-26T00:00:00Z","2749 N HOLTON ST",8820,3140750000,0,6,53212,8100,NA,43.06863345,-87.9055706772193,9,32,0
"2024-02-16T00:00:00Z","2577 N 44TH ST",8820,3280760000,108500,15,53210,6100,2520,43.0659525,-87.9692101,3,32,0
"2025-01-31T00:00:00Z","3628 W VILLARD AV",8899,1920316100,89000,1,53209,2100,6232,43.1121633,-87.9585762741833,3,31,0
"2022-09-08T00:00:00Z","4407 N 26TH ST",8810,2310087000,131800,1,53209,4200,1500,43.097492,-87.9460207072255,8,31,0
"2022-09-08T00:00:00Z","4401 N 26TH ST",8810,2310088000,109700,1,53209,4200,1500,43.0973757,-87.9460018514167,8,31,0
"2023-11-02T00:00:00Z","4355 N 27TH ST",8830,2460178000,220800,1,53216,4200,6690,43.09645245,-87.9472829686914,8,31,0
"2023-09-26T00:00:00Z","3910 A W BURLEIGH ST",8361,2870789100,30400,7,53210,4800,1780,43.07538875,-87.9625098751005,6,31,0
"2024-08-07T00:00:00Z","2842 N 36TH ST",8810,3081141000,72400,15,53210,6200,1780,43.0706992,-87.9583312499687,9,31,0
"2024-03-22T00:00:00Z","2542 N 37TH ST",8810,3270324000,43000,15,53210,6200,2380,43.0652415,-87.9596004033561,7,31,0
"2021-07-13T00:00:00Z","2522 A N 36TH ST",8820,3270352100,93400,15,53210,6200,2380,43.06483365,-87.9584195498907,6,31,0
"2022-10-25T00:00:00Z","2667 N 36TH ST",8810,3271543000,76000,15,53210,6200,2380,43.06755075,-87.9588463175178,7,31,0
"2023-08-28T00:00:00Z","3620 W CLARKE ST",8810,3271561000,28100,15,53210,6200,2380,43.06624625,-87.9593415235283,3,31,0
"2023-04-25T00:00:00Z","2546 N 52ND ST",8810,3290528000,142400,15,53210,6000,1880,43.0653257,-87.9784504107413,3,31,0
"2022-04-21T00:00:00Z","4324 W LISBON AV",8820,3470814000,93900,15,53208,9100,2520,43.0584289,-87.9683875314973,8,31,0
"2024-11-19T00:00:00Z","904 W GREENFIELD AV",8810,4320101000,69500,12,53204,16400,4040,43.0172061,-87.9228332707962,7,31,0
"2023-02-13T00:00:00Z","3646 W GOOD HOPE RD",8810,1029949111,194900,1,53209,900,380,43.14892645,-87.9581443216258,8,30,0
"2024-08-01T00:00:00Z","2718 -A N 34TH ST",8820,3090822000,30700,15,53210,8900,2950,43.06840475,-87.9559974605018,10,30,0
"2024-08-12T00:00:00Z","2830 N 34TH ST",8820,3091028000,46700,15,53210,8900,2950,43.0704462,-87.9559612762605,10,30,0
"2024-03-05T00:00:00Z","2604 N 37TH ST",8810,3271562000,0,15,53210,6200,NA,43.0662377,-87.9595735991046,3,30,0
"2024-02-27T00:00:00Z","2411 N 54TH ST",8810,3291630000,108900,10,53210,9300,1880,43.06281995,-87.9812378483429,8,30,0
"2021-12-28T00:00:00Z","2166 N 40TH ST",8810,3480624000,91300,15,53208,9000,2380,43.05895625,-87.96324015,7,30,0
"2024-12-05T00:00:00Z","604 N 30TH ST",8810,4011604000,105000,10,53208,13400,2160,43.03770645,-87.9512414254587,17,30,0
"2021-05-17T00:00:00Z","1401 W ORCHARD ST",8810,4600890000,155800,12,53204,16400,4100,43.0158579,-87.9295109,5,30,0
"2024-08-21T00:00:00Z","5543 N 33RD ST",8810,1930239000,143700,1,53209,2100,1160,43.11840265,-87.9541551055421,2,29,0
"2022-03-25T00:00:00Z","2311 W ROOSEVELT DR",8810,2452128000,214000,1,53209,4300,1620,43.09554115,-87.9410523364583,14,29,0
"2021-05-03T00:00:00Z","3172 N RICHARDS ST",8810,2812403110,57700,6,53212,7000,2900,43.07639405,-87.907398426007,5,29,0
"2022-09-16T00:00:00Z","2877 N 36TH ST",8810,3080875000,173100,15,53210,6200,1780,43.07143075,-87.9588815,5,29,0
"2021-03-01T00:00:00Z","1802 W CENTER ST",8899,3111853000,27400,15,53206,8600,6256,43.067926,-87.9358275527773,9,29,0
"2021-07-26T00:00:00Z","4106/4112 W LISBON AV",8899,3480747100,173600,15,53208,9100,6254,43.0585885791745,-87.9690375819948,5,29,0
"2021-08-26T00:00:00Z","4148/4150 W LISBON AV",8820,3480754200,82700,15,53208,9100,2380,43.0585885791745,-87.9690375819948,5,29,0
"2020-07-31T00:00:00Z","2223 N 34TH ST",8810,3490267000,51500,15,53208,9800,2400,43.0597949,-87.95658047514,12,29,0
"2023-09-08T00:00:00Z","2700/2702 W LISBON AV",8899,3492203000,120800,15,53208,9700,6254,43.0585885791745,-87.9690375819948,5,29,0
"2023-12-11T00:00:00Z","2612/2614 W LISBON AV",8820,3501388100,40600,15,53205,185800,3000,43.0585885791745,-87.9690375819948,5,29,0
"2023-09-14T00:00:00Z","2934 N 21ST ST",8810,3101054100,0,6,53206,6400,NA,43.0722509,-87.9384289248717,3,28,0
"2023-02-21T00:00:00Z","2514 N 36TH ST",8810,3270350100,27700,15,53210,6200,2380,43.06464855,-87.9584424036669,6,28,0
"2019-04-23T00:00:00Z","2531 N 51ST ST",8820,3290511000,75700,15,53210,6000,2520,43.06499065,-87.9778004553204,5,28,0
"2022-11-08T00:00:00Z","5503 N 57TH ST",8810,1909725100,147200,2,53218,1900,1140,43.11767935,-87.9839375483344,2,27,0
"2022-09-08T00:00:00Z","4447 N 26TH ST",8810,2310808000,133700,1,53209,4200,1500,43.0980823,-87.9458933560643,5,27,0
"2023-12-11T00:00:00Z","4574 N 26TH ST",8810,2319972000,56200,1,53209,2400,1500,43.10058545,-87.9452963473957,5,27,0
"2024-12-31T00:00:00Z","3950 N 28TH ST",8820,2690019000,68800,7,53216,4700,2840,43.0886606,-87.9480275566648,4,27,0
"2022-09-08T00:00:00Z","3944 N 24TH ST",8820,2701944000,108300,6,53206,4700,2840,43.08894745,-87.9417653853051,6,27,0
"2023-08-22T00:00:00Z","208 E TOWNSEND ST",8810,2820031000,32800,6,53212,6900,2900,43.08038665,-87.9090673007766,10,27,0
"2023-11-22T00:00:00Z","3224 N 24TH PL",8810,2850719000,0,7,53206,6500,NA,43.0775689,-87.9432890261666,7,27,0
"2023-12-12T00:00:00Z","3231 N 24TH PL",8810,2850730000,61600,7,53206,6500,2960,43.07771565,-87.9438063894354,6,27,0
"2021-06-15T00:00:00Z","2634 N 34TH ST",8810,3261446000,0,15,53210,8900,NA,43.0669066,-87.9560044570132,5,27,0
"2023-11-21T00:00:00Z","2558 N 37TH ST",8820,3270328000,55300,15,53210,6200,2380,43.0655559,-87.959636707577,6,27,0
"2023-08-29T00:00:00Z","2645 N 37TH ST",8810,3271609000,58700,15,53210,6200,2380,43.06708395,-87.9600626251535,3,27,0
"2023-02-13T00:00:00Z","2552 N 53RD ST",8810,3290494000,47700,15,53210,5900,1880,43.0654748,-87.9793917577769,3,27,0
"2020-01-25T00:00:00Z","2427 N 54TH ST",8820,3291627000,66500,10,53210,9300,1880,43.06312435,-87.9812241946532,7,27,0
